Price,Close,High,Low,Open,Volume
Ticker,TSLA-USD,TSLA-USD,TSLA-USD,TSLA-USD,TSLA-USD
Date,,,,,
2022-03-30,1.512658953666687,1.5713889598846436,1.4617940187454224,1.514045000076294,152393
2022-03-31,1.5096850395202637,1.5187499523162842,1.4657210111618042,1.5126490592956543,188218
2022-04-01,1.494928002357483,1.5142550468444824,1.492203950881958,1.5097219944000244,140325
2022-04-02,1.5030699968338013,1.5095820426940918,1.4873600006103516,1.494953989982605,136368
2022-04-03,1.5042610168457031,1.5073440074920654,1.4788360595703125,1.503033995628357,133931
2022-04-04,1.499709963798523,1.5074330568313599,1.470350980758667,1.504228949546814,149671
2022-04-05,1.4842150211334229,1.5028140544891357,1.4837130308151245,1.4997090101242065,126194
2022-04-06,1.4774149656295776,1.4871610403060913,1.4124939441680908,1.4841740131378174,120282
2022-04-07,1.4825010299682617,1.5590989589691162,1.4263490438461304,1.4774110317230225,109621
2022-04-08,1.4660520553588867,1.525501012802124,1.4659730195999146,1.4825040102005005,100114
2022-04-09,1.4737639427185059,1.476747989654541,1.4600590467453003,1.466020941734314,88859
2022-04-10,1.474586009979248,1.4787160158157349,1.4454970359802246,1.473736047744751,121909
2022-04-11,1.459246039390564,1.4760420322418213,1.454653024673462,1.4745539426803589,135075
2022-04-12,1.4752750396728516,1.489851951599121,1.4538819789886475,1.4592889547348022,137243
2022-04-13,1.4870009422302246,1.4908610582351685,1.472795009613037,1.475268006324768,84624
2022-04-14,1.4806989431381226,1.490409016609192,1.4148099422454834,1.487004041671753,90017
2022-04-15,1.482069969177246,1.4836950302124023,1.4793729782104492,1.4806890487670898,108628
2022-04-16,1.4645559787750244,1.4821189641952515,1.4615360498428345,1.482066035270691,103449
2022-04-17,1.464959979057312,1.467020034790039,1.4603019952774048,1.464548945426941,101177
2022-04-18,1.4599109888076782,1.52292001247406,1.405089020729065,1.4649709463119507,95167
2022-04-19,1.456212043762207,1.4601579904556274,1.3426929712295532,1.4599039554595947,97962
2022-04-20,1.4561220407485962,1.4606070518493652,1.3433690071105957,1.4562230110168457,103830
2022-04-21,1.4498339891433716,1.4732680320739746,1.4401849508285522,1.4561229944229126,96438
2022-04-22,1.4439619779586792,1.4520879983901978,1.1526329517364502,1.4498130083084106,102253
2022-04-23,1.4457639455795288,1.4505629539489746,1.4428659677505493,1.443943977355957,100347
2022-04-24,1.4718459844589233,1.4727920293807983,1.4446320533752441,1.445749044418335,82084
2022-04-25,1.4642820358276367,1.4752919673919678,1.2322299480438232,1.471848964691162,93118
2022-04-26,1.4576480388641357,1.4936989545822144,1.441364049911499,1.4642610549926758,86287
2022-04-27,1.4399149417877197,1.4576280117034912,1.4188590049743652,1.4576280117034912,92887
2022-04-28,1.4354649782180786,1.4917019605636597,1.4316489696502686,1.439918041229248,68567
2022-04-29,1.4407010078430176,1.4933559894561768,1.1692440509796143,1.4354770183563232,96482
2022-04-30,1.4412389993667603,1.4443039894104004,1.4386179447174072,1.4406720399856567,66484
2022-05-01,1.4259740114212036,1.4417109489440918,1.4216389656066895,1.4412360191345215,61443
2022-05-02,1.4223599433898926,1.4261410236358643,1.4204620122909546,1.4259560108184814,69958
2022-05-03,1.4272170066833496,1.4272220134735107,1.4116649627685547,1.422355055809021,72436
2022-05-04,1.4238090515136719,1.4294910430908203,1.421314001083374,1.4271819591522217,83407
2022-05-05,1.4183109998703003,1.4395229816436768,1.4183100461959839,1.4238100051879883,66638
2022-05-06,1.4188859462738037,1.4240789413452148,1.4126989841461182,1.4183130264282227,59706
2022-05-07,1.4163880348205566,1.4191009998321533,1.4155679941177368,1.418869972229004,55281
2022-05-08,1.415248990058899,1.4228099584579468,1.4142060279846191,1.4163850545883179,84680
2022-05-09,1.4018579721450806,1.4821879863739014,1.242614984512329,1.4152719974517822,53361
2022-05-10,1.3899539709091187,1.4019919633865356,1.3702280521392822,1.4019089937210083,76818
2022-05-11,1.3056080341339111,1.398466944694519,1.2994680404663086,1.3899519443511963,88679
2022-05-12,1.25040602684021,1.3279019594192505,1.1817959547042847,1.3056199550628662,72685
2022-05-13,1.271124005317688,1.2961260080337524,1.2500300407409668,1.2503000497817993,77963
2022-05-14,1.289425015449524,1.2895900011062622,1.2710360288619995,1.2711290121078491,65453
2022-05-15,1.2924950122833252,1.297234058380127,1.2861260175704956,1.289425015449524,68287
2022-05-16,1.2864270210266113,1.2925150394439697,1.2792999744415283,1.2925150394439697,70369
2022-05-17,1.313357949256897,1.3183950185775757,1.2413259744644165,1.2864190340042114,81175
2022-05-18,1.3167660236358643,1.3194470405578613,1.2656339406967163,1.3133490085601807,77489
2022-05-19,1.3165309429168701,1.3174840211868286,1.307790994644165,1.3167450428009033,69189
2022-05-20,1.3178889751434326,1.3247989416122437,1.2204649448394775,1.3165099620819092,94168
2022-05-21,1.31797194480896,1.342939019203186,1.2628979682922363,1.3179889917373657,74436
2022-05-22,1.330875039100647,1.3391000032424927,1.3165570497512817,1.31796395778656,79661
2022-05-23,1.343390941619873,1.343390941619873,1.3281580209732056,1.330873966217041,79786
2022-05-24,1.3382099866867065,1.3436230421066284,1.3368589878082275,1.343337059020996,60992
2022-05-25,1.3349779844284058,1.3593460321426392,1.3349570035934448,1.338191032409668,71267
2022-05-26,1.3375580310821533,1.3378100395202637,1.3251869678497314,1.3349659442901611,76080
2022-05-27,1.3388400077819824,1.3418070077896118,1.2754169702529907,1.3375509977340698,80180
2022-05-28,1.3389790058135986,1.3410170078277588,1.3334170579910278,1.3346960544586182,68113
2022-05-29,1.3347710371017456,1.3390769958496094,1.331346035003662,1.3389869928359985,65406
2022-05-30,1.3647680282592773,1.3737319707870483,1.2323440313339233,1.3347829580307007,65601
2022-05-31,1.3703429698944092,1.3721150159835815,1.3647710084915161,1.3647710084915161,69719
2022-06-01,1.3570480346679688,1.457213044166565,1.3487240076065063,1.370332956314087,76928
2022-06-02,1.3692079782485962,1.3746819496154785,1.3568660020828247,1.357010006904602,87771
2022-06-03,1.3624340295791626,1.431048035621643,1.2432880401611328,1.369178056716919,70139
2022-06-04,1.3679929971694946,1.3695429563522339,1.3341809511184692,1.3624399900436401,72845
2022-06-05,1.3669029474258423,1.3685760498046875,1.2964179515838623,1.3679879903793335,93717
2022-06-06,1.3707020282745361,1.3738479614257812,1.3337169885635376,1.3668880462646484,90587
2022-06-07,1.3919949531555176,1.3964999914169312,1.3464950323104858,1.370684027671814,94003
2022-06-08,1.378432035446167,1.4128930568695068,1.3783620595932007,1.39199697971344,84806
2022-06-09,1.3779410123825073,1.379809021949768,1.375072956085205,1.3784480094909668,80853
2022-06-10,1.3576469421386719,1.378952980041504,1.2610859870910645,1.3779929876327515,89535
2022-06-11,1.3360869884490967,1.3596689701080322,1.2543489933013916,1.3576509952545166,64891
2022-06-12,1.3292369842529297,1.349943995475769,1.3270740509033203,1.3360730409622192,63673
2022-06-13,1.2724839448928833,1.3293880224227905,1.2568329572677612,1.3292219638824463,67193
2022-06-14,1.2357620000839233,1.2724939584732056,1.2210689783096313,1.2724939584732056,77160
2022-06-15,1.227782964706421,1.2542890310287476,1.1790950298309326,1.2357380390167236,64914
2022-06-16,1.2133140563964844,1.313750982284546,1.0784859657287598,1.2277569770812988,63641
